Cluster,z,MaxGradP,Improvement
1E0657_56,0.296000,3.197915E-034,1.271022
2A_0335+096,0.034700,3.578898E-033,1.000000
2PIGG_J0011.5-2850,0.075300,6.553786E-034,1.000000
2PIGG_J2227.0-3041,0.072900,9.413344E-034,1.000000
3C_28.0,0.195200,1.286903E-033,1.000000
3C_295,0.464100,3.902216E-033,1.000000
3C_388,0.091700,2.192089E-033,1.000000
4C_55.16,0.242000,5.110216E-034,1.464344
ABELL_1060,0.012500,1.028981E-032,1.000000
ABELL_1063S,0.354000,2.559390E-033,1.000000
ABELL_1068,0.137500,1.095374E-032,1.000000
ABELL_1201,0.168800,4.440178E-034,2.981128
ABELL_1204,0.170600,2.628841E-033,1.000000
ABELL_1240,0.159000,1.669024E-035,5.849185
ABELL_1361,0.117100,1.630918E-033,1.000000
ABELL_1413,0.142600,6.770499E-034,1.000000
ABELL_1423,0.213000,5.797041E-034,0.548155
ABELL_1446,0.103500,5.902614E-034,1.697864
ABELL_1569,0.073500,2.815280E-034,0.907739
ABELL_1576,0.279000,6.619249E-034,1.000000
ABELL_1644,0.047100,7.220841E-034,1.000000
ABELL_1650,0.084300,2.487728E-033,1.000000
ABELL_1651,0.084000,1.200614E-033,1.000000
ABELL_1664,0.127600,7.067041E-034,1.000000
ABELL_1689,0.184300,2.728502E-033,1.000000
ABELL_1736,0.033800,8.650048E-035,3.758847
ABELL_1758,0.279200,1.225178E-034,1.344853
ABELL_1763,0.186600,2.430383E-034,1.638056
ABELL_1795,0.062500,1.974894E-033,1.000000
ABELL_1835,0.253200,2.641067E-033,1.000000
ABELL_1914,0.171200,3.655912E-034,1.934980
ABELL_1942,0.224000,4.793686E-034,0.937250
ABELL_1991,0.058700,2.048289E-033,1.000000
ABELL_1995,0.318600,3.707588E-034,1.155350
ABELL_2029,0.076500,5.247149E-033,1.000000
ABELL_2034,0.113000,2.277202E-034,1.080280
ABELL_2052,0.035300,2.643769E-033,1.000000
ABELL_2063,0.035100,5.416434E-034,2.548999
ABELL_2065,0.073000,1.556335E-033,1.000000
ABELL_2069,0.116000,6.440239E-035,1.193453
ABELL_2104,0.155400,3.785175E-034,1.223899
ABELL_2107,0.041100,4.852114E-033,1.000000
ABELL_2111,0.230000,6.245027E-034,1.000000
ABELL_2124,0.065800,7.688232E-034,1.000000
ABELL_2125,0.246500,2.459112E-035,5.019608
ABELL_2142,0.089800,1.144574E-033,1.000000
ABELL_2147,0.035600,5.390661E-034,1.129396
ABELL_2151,0.036600,6.842218E-033,1.000000
ABELL_2163,0.169500,4.978660E-034,0.749665
ABELL_2187,0.183300,2.215384E-033,1.000000
ABELL_2199,0.030000,4.896849E-033,1.000000
ABELL_2204,0.152400,8.832586E-033,1.000000
ABELL_2218,0.171300,3.458158E-034,1.434845
ABELL_2219,0.225600,2.188677E-033,1.000000
ABELL_2244,0.096700,2.164394E-033,1.000000
ABELL_2255,0.080500,8.272871E-035,6.968194
ABELL_2256,0.057900,1.005710E-033,1.000000
ABELL_2259,0.164000,1.599348E-034,0.727209
ABELL_2261,0.224000,2.151026E-033,1.000000
ABELL_2294,0.178000,1.347439E-033,1.000000
ABELL_2319,0.056200,7.863047E-034,1.000000
ABELL_2384,0.094500,1.387208E-034,1.330193
ABELL_2390,0.230100,1.698768E-033,1.000000
ABELL_2409,0.147900,9.984956E-034,1.000000
ABELL_2420,0.084600,1.105806E-033,1.000000
ABELL_2462,0.073700,3.303795E-035,4.528539
ABELL_2537,0.295000,7.963532E-034,1.000000
ABELL_2554,0.110300,1.109463E-033,1.000000
ABELL_2556,0.086200,4.565690E-033,1.000000
ABELL_2589,0.041500,9.054362E-034,1.000000
ABELL_2597,0.085400,2.126619E-033,1.000000
ABELL_2626,0.057300,2.162417E-033,1.000000
ABELL_2631,0.277900,7.682768E-035,4.320966
ABELL_2657,0.040200,1.300480E-033,1.000000
ABELL_2667,0.230000,1.580517E-033,1.000000
ABELL_2717,0.047500,1.226173E-033,1.000000
ABELL_2744,0.308000,2.659282E-034,0.526808
ABELL_2813,0.292400,1.179165E-034,0.648188
ABELL_3084,0.097700,5.993724E-034,0.682515
ABELL_3088,0.253400,1.573869E-034,3.348186
ABELL_3112,0.072000,2.257523E-033,1.000000
ABELL_3120,0.069000,1.605539E-033,1.000000
ABELL_3158,0.058000,3.267689E-034,0.953228
ABELL_3266,0.059000,3.964279E-033,1.000000
ABELL_3364,0.148300,1.211522E-033,1.000000
ABELL_3376,0.045600,1.597736E-034,4.518198
ABELL_3391,0.056000,3.407152E-034,0.300986
ABELL_3395,0.051000,3.086181E-034,4.688040
ABELL_3528S,0.053000,2.073309E-033,1.000000
ABELL_3558,0.048000,7.706446E-034,1.000000
ABELL_3562,0.049000,1.265203E-033,1.000000
ABELL_3571,0.039100,6.820639E-033,1.000000
ABELL_3581,0.021800,1.785976E-033,1.000000
ABELL_3667,0.055600,2.146183E-034,1.725802
ABELL_3822,0.075900,1.023513E-033,1.000000
ABELL_3827,0.098400,2.033544E-033,1.000000
ABELL_3921,0.092700,9.988944E-034,1.000000
ABELL_4038,0.030000,1.372872E-033,1.000000
ABELL_4059,0.047500,1.609407E-033,1.000000
ABELL_S0405,0.061300,1.387409E-033,1.000000
ABELL_S0592,0.221600,2.565930E-033,1.000000
AC_114,0.312000,2.340795E-034,0.310976
AWM7,0.017200,1.430108E-032,1.000000
CENTAURUS,0.010900,2.503240E-032,1.000000
CID_0072,0.034400,1.913413E-033,1.000000
CL_J1226.9+3332,0.890000,9.782203E-034,1.000000
CYGNUS_A,0.056100,7.813297E-033,1.000000
ESO_3060170,0.035800,5.336650E-033,1.000000
ESO_5520200,0.031400,4.522245E-033,1.000000
EXO_0422-086,0.039700,4.936213E-033,1.000000
HCG_0062,0.014600,5.170438E-033,1.000000
HCG_42,0.013300,2.213537E-032,1.000000
HERCULES_A,0.154100,1.133232E-033,1.000000
HYDRA_A,0.054900,3.201592E-033,1.000000
M49,0.003300,2.186630E-031,1.000000
M87,0.004400,4.996400E-032,1.000000
MACS_J0011.7-1523,0.360000,5.520505E-033,1.000000
MACS_J0035.4-2015,0.364400,2.649742E-034,1.505094
MACS_J0159.8-0849,0.405000,4.682781E-033,1.000000
MACS_J0242.5-2132,0.314000,8.461649E-033,1.000000
MACS_J0257.1-2325,0.505300,2.371705E-034,0.706595
MACS_J0257.6-2209,0.322400,3.121711E-034,1.435439
MACS_J0308.9+2645,0.324000,7.584944E-034,1.000000
MACS_J0329.6-0211,0.450000,4.231318E-033,1.000000
MACS_J0417.5-1154,0.440000,3.307740E-033,1.000000
MACS_J0429.6-0253,0.399000,5.579096E-033,1.000000
MACS_J0520.7-1328,0.339800,7.158250E-034,1.000000
MACS_J0547.0-3904,0.210000,7.989006E-034,1.000000
MACS_J0717.5+3745,0.548000,2.342264E-034,0.850968
MACS_J0744.8+3927,0.686000,5.014045E-033,1.000000
MACS_J1115.2+5320,0.439000,1.682697E-034,1.642144
MACS_J1115.8+0129,0.352100,1.983345E-033,1.000000
MACS_J1131.8-1955,0.307000,6.290405E-034,1.000000
MACS_J1149.5+2223,0.544000,1.046008E-034,1.033508
MACS_J1206.2-0847,0.440000,2.087825E-033,1.000000
MACS_J1311.0-0310,0.494000,6.178298E-034,1.000000
MACS_J1621.3+3810,0.461000,5.386158E-033,1.000000
MACS_J1931.8-2634,0.352000,6.113003E-033,1.000000
MACS_J2049.9-3217,0.325400,3.200855E-034,0.962278
MACS_J2211.7-0349,0.270000,1.058803E-033,1.000000
MACS_J2214.9-1359,0.502600,8.270124E-035,1.242958
MACS_J2228+2036,0.412000,5.847712E-034,1.425228
MACS_J2229.7-2755,0.324000,4.524775E-033,1.000000
MACS_J2245.0+2637,0.304000,1.320005E-033,1.000000
MKW_04,0.019800,6.927960E-033,1.000000
MKW_08,0.027000,3.665824E-034,3.932351
MKW3S,0.045000,2.314797E-033,1.000000
MS_0016.9+1609,0.541000,4.086330E-034,0.739895
MS_0116.3-0115,0.045200,4.419220E-034,1.184331
MS_0440.5+0204,0.190000,7.460569E-033,1.000000
MS_0451.6-0305,0.538600,2.148011E-034,1.371590
MS_0735.6+7421,0.216000,1.697011E-033,1.000000
MS_0839.8+2938,0.194000,1.187670E-033,1.000000
MS_0906.5+1110,0.163000,4.598239E-034,0.562643
MS_1006.0+1202,0.221000,9.356449E-036,1.331573
MS_1008.1-1224,0.301000,2.839892E-034,1.017166
MS_1455.0+2232,0.259000,2.483005E-033,1.000000
MS_2137.3-2353,0.313000,6.645471E-033,1.000000
MS_J1157.3+5531,0.081000,4.896274E-033,1.000000
NGC_0507,0.016400,6.383569E-032,1.000000
NGC_4636,0.003100,4.214245E-032,1.000000
NGC_5044,0.009000,2.054226E-032,1.000000
NGC_5813,0.006600,3.350809E-032,1.000000
NGC_5846,0.005700,4.702550E-032,1.000000
OPHIUCHUS,0.028000,2.571843E-032,1.000000
PKS_0745-191,0.102800,2.578035E-033,1.000000
RBS_0461,0.029000,1.975876E-034,1.947170
RBS_0533,0.012300,2.306253E-032,1.000000
RBS_0797,0.354000,8.902678E-033,1.000000
RCS_J2327-0204,0.200000,4.985668E-033,1.000000
RX_J0220.9-3829,0.228700,5.627422E-034,0.548066
RX_J0232.2-4420,0.283600,1.278404E-033,1.000000
RX_J0439.0+0715,0.230000,4.220598E-034,0.616962
RX_J0439+0520,0.208000,6.763107E-033,1.000000
RX_J0528.9-3927,0.263200,1.050515E-033,1.000000
RX_J0647.7+7015,0.584000,5.739533E-034,1.495531
RX_J0819.6+6336,0.119000,2.189568E-033,1.000000
RX_J1000.4+4409,0.154000,9.151083E-034,1.000000
RX_J1022.1+3830,0.049100,3.082012E-034,1.284941
RX_J1130.0+3637,0.060000,2.055779E-034,1.355313
RX_J1320.2+3308,0.036600,9.543912E-034,1.000000
RX_J1347.5-1145,0.451000,1.449912E-032,1.000000
RX_J1423.8+2404,0.545000,5.599657E-033,1.000000
RX_J1504.1-0248,0.215000,5.279891E-033,1.000000
RX_J1532.9+3021,0.345000,2.235709E-033,1.000000
RX_J1539.5-8335,0.072800,3.085298E-033,1.000000
RX_J1720.1+2638,0.164000,3.499676E-033,1.000000
RX_J1720.2+3536,0.391300,1.497323E-033,1.000000
RX_J1852.1+5711,0.109400,1.187821E-033,1.000000
RX_J2129.6+0005,0.235000,7.712670E-033,1.000000
RXC_J1023.8-2715,0.096300,1.423896E-032,1.000000
RXCJ0331.1-2100,0.188000,7.413995E-033,1.000000
SC_1327-312,0.053100,4.122026E-034,1.931221
SERSIC_159-03,0.058000,1.942432E-033,1.000000
SS2B153,0.018600,3.774591E-032,1.000000
UGC_03957,0.034100,6.562256E-033,1.000000
UGC_12491,0.017400,2.279203E-032,1.000000
ZwCl_0857.9+2107,0.235000,9.440613E-034,1.000000
ZWCL_1215,0.075000,5.987309E-034,1.343081
ZWCL_1358+6245,0.328000,3.015661E-033,1.000000
ZWCL_1742,0.075700,1.339275E-033,1.000000
ZWCL_1953,0.380000,5.194743E-034,1.606275
ZWCL_3146,0.290000,2.695269E-033,1.000000
ZWICKY_2701,0.210000,4.173275E-034,1.435675
